text,intent,sentiment,clean_text
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
"Halo, bagaimana harimu?",ngobrol,netral,halo harimu
Aku ingin menabung tapi pengeluaranku selalu besar.,curhat,negatif,ingin menabung tapi pengeluaranku selalu besar
Aku sering membandingkan diriku dengan orang lain.,curhat,negatif,sering membandingkan diriku orang lain
Apa kabar? Aku ingin ngobrol santai.,ngobrol,netral,kabar ingin ngobrol santai
Aku ingin lebih percaya diri dalam hubungan sosial.,curhat,negatif,ingin percaya diri hubungan sosial
Bagaimana cara mengatasi overthinking setiap malam?,minta_saran,netral,cara mengatasi overthinking setiap malam
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku sering merasa sendirian meskipun ada orang di sekitarku.,curhat,negatif,sering merasa sendirian meskipun ada orang sekitarku
Aku sulit tidur karena selalu overthinking.,curhat,negatif,sulit tidur selalu overthinking
Aku ingin lebih percaya diri tapi selalu ragu.,curhat,negatif,ingin percaya diri tapi selalu ragu
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Aku merasa gaji yang aku dapatkan tidak cukup.,curhat,negatif,merasa gaji dapatkan cukup
Apa yang bisa aku lakukan untuk mengurangi kecemasan?,ngobrol,netral,lakukan mengurangi kecemasan
Aku kecewa dengan teman yang tidak mendukungku.,curhat,negatif,kecewa teman mendukungku
Apa cara terbaik untuk menjaga kesehatan mental sehari-hari?,minta_saran,netral,cara terbaik menjaga kesehatan mental seharihari
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku merasa depresi dan tidak punya semangat hidup.,curhat,negatif,merasa depresi punya semangat hidup
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku sulit tidur karena selalu overthinking.,curhat,negatif,sulit tidur selalu overthinking
Aku merasa tertekan karena target kerja yang tinggi.,curhat,negatif,merasa tertekan target kerja tinggi
Aku ingin merasa lebih baik tapi tidak tahu caranya.,curhat,negatif,ingin merasa baik tapi tahu caranya
Aku sering berpikir negatif tentang diriku sendiri.,curhat,negatif,sering berpikir negatif tentang diriku sendiri
Ceritakan sesuatu yang bisa membuatku semangat.,ngobrol,netral,ceritakan sesuatu membuatku semangat
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku takut kehilangan pekerjaan dan tidak bisa memenuhi kebutuhan hidup.,curhat,negatif,takut kehilangan pekerjaan memenuhi kebutuhan hidup
Aku sering merasa diremehkan oleh orang-orang di sekitarku.,curhat,negatif,sering merasa diremehkan orangorang sekitarku
Aku merasa tidak mampu mencapai apa yang aku impikan.,curhat,negatif,merasa mampu mencapai impikan
